CMS-365Network – Changelog (bereinigt);;;;
CMSv1 = 0.1.xx–0.4.99  |  CMSv2 = 0.5.xx+  |  Plugins & Themes ausgeschlossen;;;;
Version;Datum;Typ;Bereich;Beschreibung
0.5.0;17.02.2026;feat;Core;CMSv2 initial: Core-System mit Hooks, Datenbank, Auth und Routing implementiert
0.5.1;17.02.2026;feat;Core;Install.php, Updater.php und erweitertes index.php mit Full-Routing hinzugefügt
0.5.2;17.02.2026;feat;Security;"Security-Layer implementiert; 5 kritische Sicherheitsprobleme im Core behoben"
0.5.3;17.02.2026;docs;Docs;Vollständige Dokumentation für CMS365-Phasen und Security-Audit hinzugefügt
0.5.4;17.02.2026;feat;Admin;Vollständiger Admin-Bereich implementiert
0.5.5;17.02.2026;feat;Admin;User-Management mit CRUD-Operationen, Rollenverwaltung und Bulk-Aktionen
0.5.6;17.02.2026;feat;Admin;"System-Status-Seite hinzugefügt; User-Erstellungsformular verbessert"
0.5.7;17.02.2026;feat;Core;"PluginManager: getActivePlugins-Sichtbarkeit angepasst; getCurrentTheme in ThemeManager; time_ago-Funktion erweitert; clear-cache.php hinzugefügt"
0.5.8;17.02.2026;docs;Admin;Umfassende ADMIN-GUIDE.md + Security/Performance-Admin-Seiten erstellt
0.5.9;17.02.2026;docs;Docs;ADMIN-GUIDE.md in doc/admin/-Unterverzeichnis reorganisiert
0.6.0;16.02.2026;fix;Core;Kritische Routing- und Datenbank-Prefix-Bugs im CMS-Core behoben
0.6.1;16.02.2026;fix;Database;Datenbank-Prefix-Doppelpräfix-Bugs im gesamten Codebase behoben
0.6.2;16.02.2026;refactor;Core;Modulare Architektur: index.php von 258 auf 72 Zeilen reduziert
0.6.3;16.02.2026;fix;Database;Schema.sql bereinigt: Plugin-Tabellen entfernt, cms_users-Felder korrigiert
0.6.4;16.02.2026;fix;Core;Fehlende Helper-Funktionen ergänzt: has_action, has_filter, trailingslashit
0.6.5;16.02.2026;fix;Database;Merge-Konflikte, Schema-Doppelpräfix und Konfig-Struktur behoben
0.6.6;16.02.2026;fix;Admin;"Admin-Panel Plugin-Management gefixt; Subdirectory-Support hinzugefügt"
0.6.7;16.02.2026;feat;Bookings;Konflikt-Erkennung mit Pufferzeiten, Urlaubssperrung und Concurrency-Limits erweitert
0.6.8;16.02.2026;perf;Bookings;Datenbankindex-Optimierung für 75 % Abfrage-Performance-Verbesserung
0.6.9;16.02.2026;feat;Core;Multi-Tenancy-Foundation (Tenant.php) implementiert – Phase 2 Core-Start
0.7.0;16.02.2026;feat;Security;Phase 1.4 Sicherheits-Enhancements: MFA, OAuth, Social Login, Intrusion Detection, GDPR
0.7.1;16.02.2026;feat;PWA;Phase 1.5 PWA-Support implementiert – Phase 1 Implementierung 100 % abgeschlossen
0.7.2;16.02.2026;feat;Cache;LiteSpeed-Cache-Integration und Performance-Optimierungen implementiert
0.7.3;15.02.2026;fix;Security;SQL-Injection- und Credential-Exposure-Schwachstellen behoben
0.7.4;15.02.2026;feat;Email;Phase 1.2: E-Mail-System mit Templates, Queue und Tracking vollständig implementiert
0.7.5;15.02.2026;feat;Core;Phase 1.3: Job-Queue-System mit Scheduling, Worker-Management und Monitoring
0.7.6;15.02.2026;feat;Admin;Phase 1.1: Admin-Core-Migration – Admin.php mit erweiterten Features erstellt
0.7.7;15.02.2026;fix;Security;5 kritische Sicherheitsprobleme im Core-System behoben
0.7.8;15.02.2026;fix;Security;CORS-Konfiguration und SEO-External-Code-Embedding gesichert
0.8.0;18.02.2026;fix;Core;KRITISCH: 7 Sicherheitsprobleme behoben
0.8.1;18.02.2026;fix;Core;"Session-Management in autoload.php zentralisiert; Auth::getCurrentUser() hinzugefügt"
0.8.2;18.02.2026;fix;Namespaces;Namespace-Regressionen in Services und Datenbank-Schema behoben
0.8.3;18.02.2026;fix;Install;install-schema.php HTTP 500 durch falsche Database-Methoden behoben
0.8.4;18.02.2026;feat;Database;Automatische DB-Bereinigung bei Neuinstallation implementiert
0.8.5;18.02.2026;fix;Settings;Settings-Tabelle Spaltennamen korrigiert (setting_key/value → option_name/value)
0.8.6;18.02.2026;fix;Services;"Service-Fehler behoben; fehlende 'use CMS\Security' in landing-get.php ergänzt"
0.8.7;18.02.2026;feat;Cache;Umfassende Cache-Clearing-Funktion implementiert
0.8.8;18.02.2026;feat;Dashboard;"Replace Dashboard mit moderner AJAX-Architektur; DashboardService-Datenbankfehler behoben"
0.8.9;18.02.2026;fix;Admin;Admin-CSS- und JS-Pfade korrigiert (global → admin/assets)
0.9.0;18.02.2026;fix;Assets;CSS/JS-Pfade auf absolute Server-Root-Pfade geändert + Test-Datei
0.9.1;18.02.2026;feat;Admin;Komplett neuer Admin-Bereich – Modern & Friendly
0.9.2;18.02.2026;feat;Admin;Backup-Management-Seite mit Backup-Funktionalitäten implementiert
0.9.3;18.02.2026;feat;Admin;Updates-, Backup- und Tracking-Services hinzugefügt
0.9.4;18.02.2026;feat;Subscriptions;Subscription-Management Admin-Seite mit Plan-Erstellung und Zuweisung
0.9.5;18.02.2026;feat;Member;Member-Profil, Security, Subscription und Datenschutz-Views und Controller hinzugefügt
0.9.6;18.02.2026;fix;Member;Critical Bug Fixes: Method-Visibility, Config-Loading, XSS, Escaping
0.9.7;18.02.2026;fix;Subscriptions;Redundante statusBadges in subscription-view entfernt
0.9.8;18.02.2026;docs;Admin;README.md aktualisiert und ADMIN-FILESTRUCTURE.md zur vollständigen Dokumentation erstellt
0.9.9;18.02.2026;fix;Admin;Kritische Sicherheits-Fixes – groups.php, subscriptions.php, theme-editor.php
1.0.0;18.02.2026;fix;Admin;Konsistenz + Performance-Fixes im Admin-Bereich
1.0.1;18.02.2026;perf;Core;createTables() Performance Guards in Database + SubscriptionManager
1.0.2;18.02.2026;refactor;Services;Prefix-Property + hardkodierte Tabellennamen eliminiert
1.0.3;18.02.2026;docs;Core;Core-Bereich vollständig dokumentiert
1.0.4;19.02.2026;feat;Admin;Vollständiger Admin-Bereich: AJAX-Architektur für 12 Dateien (Services + AJAX + Views-Trennung)
1.0.5;19.02.2026;fix;Core;Datenbank-Prefix-Methoden und Session-Logout-Handling verbessert
1.0.6;19.02.2026;fix;Core;Sicherheits-Fixes in Core-Klassen
1.0.7;19.02.2026;fix;Subscriptions;Price-Felder zu Float gecastet vor number_format()
1.0.8;19.02.2026;fix;Subscriptions;Fehlendes PHP-Schlusstag ?> in create-plan-Modal (Zeile 521) ergänzt
1.0.9;19.02.2026;fix;Dashboard;Escaped Backslash-Dollar in SQL-Prefix-Interpolation entfernt
1.1.0;19.02.2026;feat;Admin;Landing-Page und Theme-Management-Funktionalität im Admin hinzugefügt
1.1.1;19.02.2026;feat;Cookie;Cookie-Scanning-Funktionalität mit serverseitigen und Content-Heuristik-Prüfungen
1.1.2;19.02.2026;feat;Landing;Landing-Page-Service um Footer-Management erweitert
1.1.3;19.02.2026;refactor;Core;Code-Struktur für bessere Lesbarkeit und Wartbarkeit refaktoriert
1.1.4;19.02.2026;feat;Experts;Expert-Management: Status-Updates, Skill-Presets und Plugin-Einstellungen
1.1.5;19.02.2026;feat;Events;CMS-Experts und Events-Management erweitert
1.1.6;19.02.2026;feat;Member;"Member-Service hinzugefügt; CMS-Speakers-Plugin refaktoriert"
1.1.7;19.02.2026;docs;Themes;Umfassende Dokumentation für Theme-Entwicklung in CMSv2 erstellt
1.1.8;20.02.2026;feat;Admin;"Dashboard-Funktionalität um Logo-Upload erweitert; Widget-Anzahl auf 4 erhöht"
1.1.9;20.02.2026;feat;Member;Member-Medien-Management implementiert (Upload, Verwaltung)
1.2.0;20.02.2026;feat;Media;"Medien-AJAX-Handling und Authentifizierung verbessert; robustere Fehlerbehandlung"
1.2.1;20.02.2026;feat;Media;Media-Proxy und AJAX-Handling für verbesserte Medienoperationen implementiert
1.2.2;20.02.2026;fix;AJAX;AJAX-URL-Handling für mehr Robustheit und Debugging verbessert
1.2.3;20.02.2026;refactor;Media;Media-View und AJAX-Handling für bessere UX und Fehlerbehandlung überarbeitet
1.2.4;20.02.2026;refactor;Error;"Fehlerbehandlung überarbeitet; Media-Upload-Struktur für mehr Robustheit verbessert"
1.2.5;20.02.2026;feat;Member;"Member-Menü überarbeitet; Favoriten- und Nachrichten-Funktionalität hinzugefügt"
1.2.6;20.02.2026;feat;Subscriptions;"Zahlungsarten-Update implementiert; Benutzerabonnements-Abfrage verbessert"
1.2.7;18.02.2026;docs;Projekt;"Initial Commit 365CMS.DE Repository; README mit CMS-Beschreibung und Website-Link"
;;;;
1.3.0;20.02.2026;feat;Release;First Public Release – 365CMS.DE veröffentlicht
1.3.1;20.02.2026;feat;Database;"Datenbankschema auf Version 3 aktualisiert; Blog-Post-Tabellen hinzugefügt"
1.3.2;20.02.2026;feat;Blog;Blog-Routen für Post-Listing und Single-Post-Detailansicht hinzugefügt
1.3.3;20.02.2026;fix;Security;CSRF-Token-Handling in User- und Post-Management-Formularen verbessert
1.3.4;20.02.2026;feat;Pages;Page-Management-UI mit Success/Error-Messages und verbessertem Layout
1.3.5;20.02.2026;feat;Subscriptions;Subscription- und Checkout-System implementiert
1.3.6;20.02.2026;chore;CI/CD;PHP-Composer-Workflow-Konfiguration hinzugefügt
1.4.0;21.02.2026;feat;Dashboard;Version-Badge im Admin Dashboard-Header
1.4.1;21.02.2026;refactor;Subscriptions;"Pakete-Editor in Übersicht integriert; neue Einstellungen-Seite; Sub-Tabs entfernt"
1.4.2;21.02.2026;feat;Subscriptions;Admin-Subscriptions-UI mit verbesserter Navigation und Labels
1.4.3;21.02.2026;docs;Changelog;"Versionierung auf 0.x umgestellt; Changelog + README aktualisiert"
1.4.4;21.02.2026;style;Orders;Admin-Design für Bestellverwaltung vereinheitlicht (Benutzer & Gruppen)
1.4.5;21.02.2026;fix;Logging;Logs werden nur noch bei CMS_DEBUG=true in /logs geschrieben
1.4.6;21.02.2026;feat;Landing;Landing-Page-Management erweitert
1.4.7;21.02.2026;feat;Admin;Plugin- und Theme-Marketplace-Seiten mit Settings-Management hinzugefügt
1.4.8;21.02.2026;refactor;Core;"File-Struktur bereinigt; Code-Struktur für bessere Lesbarkeit optimiert"
1.4.9;21.02.2026;feat;Docs/Support;"Dokumentationsabruf mit rekursivem Directory-Traversal; Sidebar-Gruppierung"
1.5.0;21.02.2026;refactor;Support;Support.php komplett neu: Docs ausschließlich via GitHub API + raw.githubusercontent.com
1.5.1;21.02.2026;fix;Support;"cURL-basierter GitHub-API-Client; Debug-Modus; DOC/admin-Ordner umbenannt"
1.5.2;21.02.2026;fix;Support;"fetchDocContent auf GitHub Contents-API umgestellt; CDN entfernt, Markdown serverseitig gerendert"
1.5.3;21.02.2026;fix;Support;"Timeout auf 4/6s reduziert; 5-min-Datei-Cache für Dok-Liste; Refresh-Link"
1.5.4;21.02.2026;refactor;Support;Übersichtsseiten je Bereich mit GitHub-Links statt Markdown-Rendering
1.5.5;21.02.2026;docs;Docs;Dokumentation für Content-Management, SEO, Performance, Backup und User-Management
1.5.6;21.02.2026;docs;Docs;"INDEX.md in Dokumentationsliste priorisiert; Dokumentationsindex bereinigt"
1.5.7;21.02.2026;feat;GDPR;DSGVO-konforme Datenlöschung und Security-Audit-Seite hinzugefügt
1.5.8;21.02.2026;fix;SEO;Einstellungsname für benutzerdefinierten robots.txt-Inhalt korrigiert
1.5.9;21.02.2026;fix;Database;Tabellenbezeichnungen von 'usermeta' zu 'user_meta' in mehreren Dateien aktualisiert
1.6.0;21.02.2026;feat;Cache;Cache-Clearing-Funktionalität und Asset-Regenerierung hinzugefügt
1.6.1;21.02.2026;feat;Legal;AntiSpam-Einstellungsseite und Rechtstexte-Generator implementiert
1.6.2;21.02.2026;feat;Cookie;Cookie-Richtlinie-Generierung in Rechtstexte-Generator integriert
1.6.3;21.02.2026;feat;Cookie;Cookie-Richtlinie mit dynamischem Zustimmungsstatus und optimierter Darstellung
1.6.4;21.02.2026;refactor;Legal;"Generierung von Rechtstexten bereinigt und optimiert; Menübezeichnung aktualisiert"
1.6.5;21.02.2026;feat;Admin;"Site-Tables-Management mit CRUD-Operationen und Import/Export; neue Menüeinträge"
1.6.6;21.02.2026;docs;README;README-Dateien mit neuen Versionsinformationen und verbesserten Beschreibungen aktualisiert
1.6.7;21.02.2026;chore;Docs;Veraltete Sicherheitsarchitektur-Dokumentation entfernt
1.6.8;21.02.2026;docs;Core;Dokumentation und Skripte für 365CMS aktualisiert
1.6.9;22.02.2026;feat;Cookie;Cookie-Verwaltung mit Dienstbibliothek und Sicherheitsprüfungen erweitert
;;;;
Legende:  🟢 feat = neues Feature  |  🔴 fix = Bugfix  |  🟡 refactor = Umbau  |  🟠 perf = Performance  |  🔵 docs = Dokumentation  |  ⬜ chore = Wartung  |  🎨 style = Design;;;;
